با,یک,درخت,از,پشت,سرش,,پسری,با,ژاکت,زرد,نشان,داده,می,شود,که,از,جهش,یونجه,در,موقعیت,های,مختلف,در,پرش,خود,می,پرید,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
سه,چهره,پسر,یکسان,در,یک,جای,کشور,در,صف,های,یونجه,بازی,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
3,بچه,بور,جوان,در,محافظ,های,زندگی,روی,صف,های,یونجه,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
سه,پسر,جوان,در,حال,پریدن,و,بازی,در,یونجه,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
سه,کودک,می,دوند,و,روی,زمین,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
سگ,قهوه,ای,روشن,به,سمت,چیزی,در,ساحل,می,دوید,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
سگ,بزرگ,رنگ,خاکستری,در,حال,پریدن,در,ساحل,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,سگ,رنگ,خاکستری,در,شن,های,مرطوب,در,ساحل,قدم,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
سگ,قهوه,ای,در,ساحل,شنی,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,سگ,خاکستری,در,شن,های,اقیانوس,بازی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
در,حالی,که,تماشاگران,او,را,تشویق,می,کنند,,مردی,با,کت,و,شلوار,سیاه,و,سفید,در,خیابان,مشغول,حلقه,زدن,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
مردی,در,حالی,که,با,دو,نفر,صحبت,می,کند,رینگ,های,فلزی,را,یکی,با,هر,دست,گرفته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
مردی,با,لباس,سیاه,و,سفید,حلقه,های,بزرگ,سفید,را,تکان,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,در,جاده,ایستاده,و,لبخند,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,شعبده,بازی,بعد,از,اجرا,تعظیم,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
شخصی,با,سبیل,و,ریش,کشیده,که,روسری,و,دانه,هایی,را,در,موهای,خود,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
مرد,مو,بلند,به,عنوان,یک,دزد,دریایی,با,نوار,قرمز,لباس,پوشیده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,که,یک,پارچه,دوو,پوشیده,و,موهای,بلند,دارد,,درست,در,دوربین,خیره,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
مرد,جوانی,با,چشمان,قهوه,ای,مانند,جک,اسپارو,لباس,پوشیده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,با,لباس,جک,گنجشک,از,دزدان,دریایی,کارائیب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,با,لباس,آبی,و,شلوار,جین,پشت,تابلویی,ایستاده,که,روی,آن,نوشته,شده,مارک,مامان,فینلی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
مردی,که,یک,تاپ,مخزن,به,تن,دارد,تابلویی,را,که,مارک,فینلی,را,معرفی,می,کند,بالا,نگه,داشته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
شخصی,که,شلوار,جین,آبی,و,تاپ,مخزن,آبی,رنگ,برپا,دارد,,ایستاده,و,منتظر,می,ماند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
مرد,جوانی,پای,یک,گاری,دو,چرخ,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,با,تاپ,مخزن,آبی,رنگ,اختراع,خود,را,نشان,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
پسر,کوچکی,در,انتهای,سرسره,لغزش,زرد,به,استخر,کوچک,پاشیده,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
هنگامی,که,مادر,تماشا,می,کند,پسر,جوانی,در,یک,نظر,سنجی,زرد,پاشیده,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
یک,پسر,کوچک,در,حالی,که,دیگران,تماشا,می,کنند,با,یک,اسباب,بازی,آب,بازی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
پسر,جوانی,که,روی,زمین,چمن,در,یک,لوله,خنک,کشیده,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
پسر,جوانی,از,سرسره,آب,زرد,پایین,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
پرنده,ای,با,رنگ,تیره,که,روی,شاخه,ای,از,درخت,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
یک,پرنده,قهوه,ای,روی,شاخه,درخت,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
پرنده,ای,روی,شاخه,درخت,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
پرنده,ای,قهوه,ای,رنگ,که,روی,شاخه,ای,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
پرنده,ای,در,درخت,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
مردی,که,لباس,رنگی,به,تن,دارد,,چیزی,را,در,هر,دو,دست,گرفته,و,برای,دوربین,لبخند,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
مردی,با,کت,زرد,و,مچ,بندهای,رنگارنگ,لبخند,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,با,لباس,زرد,و,جواهرات,پلاستیکی,چند,رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,گردنبند,رنگی,رنگین,کمان,به,تن,دارد,و,لبخند,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مرد,سیاه,پوست,عکس,می,گیرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
مردی,با,لباس,آبی,و,عمامه,ای,سفید,سوار,یک,اسب,سفید,از,کنار,درخت,سبز,زنده,و,یک,خانه,نارنجی,و,سفید,با,وسایل,بنفش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
مردی,سوار,الاغی,جلوی,ساختمان,خردل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
مردی,با,عبا,در,خیابان,سوار,الاغ,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,با,لباس,آبی,سوار,یک,اسب,کوچک,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
از,کنار,درخت,,مردی,سوار,الاغ,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
مردی,که,کت,مشکی,به,تن,دارد,,ایستاده,است,و,کتابی,باز,را,جلوی,تخته,سیاه,و,کره,زمین,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
مردی,با,کت,چرمی,مشکی,و,کتابی,در,دست,در,کلاس,صحبت,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,با,کت,چرمی,از,روی,کتاب,برای,افراد,در,کلاس,می,خواند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,کتابی,را,در,دست,گرفته,است,که,جلوی,تخته,سیاه,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,با,کت,مشکی,با,صدای,بلند,می,خواند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
افرادی,که,بچه,های,کوچکی,دارند,روی,زمین,آجری,,یک,مرد,به,چیزی,برای,دیدن,کودک,اشاره,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
یک,دختر,جوان,و,یک,آقا,بزرگتر,وقتی,به,چیزی,خارج,از,قاب,اشاره,می,کند,,دست,یکدیگر,را,می,گیرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
گروهی,از,بزرگسالان,و,کودکان,,با,یک,مرد,به,چیزی,خارج,از,دوربین,اشاره,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
مردی,که,دختربچه,ای,را,در,دست,دارد,خم,می,شود,و,چیزی,را,به,سمت,او,نشان,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
یک,خیابان,شلوغ,در,اروپا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
گروهی,متشکل,از,سه,مرد,با,لباس,سفید,در,نزدیکی,وانت,پلیس,ایستاده,اند,در,حالی,که,مردی,با,کت,مشکی,و,نوار,سفید,روی,حاشیه,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
مردی,با,بازوی,آسیب,دیده,سه,پلیس,را,تماشا,می,کند,که,یکی,به,راننده,وانت,پلیس,خطاب,می,کند,و,دو,نفر,دیگر,از,وانت,دور,می,شوند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
پلیس,در,صحنه,آنچه,که,هرگز,رخ,داده,است,,با,یک,مرد,دستبند,حضور,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
این,مردان,با,شخصی,که,در,وانت,پلیس,است,صحبت,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
یک,وسیله,نقلیه,پلیس,در,یک,منطقه,شهری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,زن,در,حال,طراحی,کاریکاتور,کارتونی,از,دو,کودک,خردسال,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
یک,هنرمند,که,سخت,تلاش,می,کند,یک,پرتره,کمیک,بکشد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,زن,در,حال,کشیدن,کاریکاتور,از,دو,نفر,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
زنی,که,از,دو,کودک,تصویر,می,کشد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,هنرمند,زن,در,حال,طراحی,پرتره,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,زن,و,مرد,پیر,با,یک,چوب,دستی,که,از,یک,تپه,ماسه,ای,بازو,گرفته,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
زن,و,شوهری,که,یکدیگر,را,در,حال,بالا,رفتن,از,تپه,شنی,در,آغوش,گرفته,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
یک,زن,و,مرد,در,حال,قدم,زدن,در,بالای,یک,تپه,شنی,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
دو,نفر,در,حال,گذر,از,بیابان,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,زوج,پیر,در,حال,قدم,زدن,در,بالای,یک,شن,و,ماسه,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
شخصی,که,لباس,مشکی,به,تن,دارد,و,شخصی,که,لباس,آبی,به,تن,دارد,روی,تلی,از,شن,ها,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
یک,نفر,در,بالای,آسمان,ابری,به,بالای,یک,تپه,شن,کمک,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
یک,مرد,به,یک,زن,کمک,می,کند,تا,با,یک,میله,تپه,شنی,بزرگ,برود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
مردی,که,در,بالای,تپه,های,شنی,به,یک,زن,مسن,کمک,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
2,مرد,در,حال,بالا,رفتن,از,تپه,شنی,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,کامیون,مشکی,و,یک,اتومبیل,قرمز,رنگ,که,در,خیابان,روبروی,یک,بقالی,پارک,شده,بودند,,رنگ,قرمز,رنگی,داشتند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
صحنه,خیابان,شامل,اتومبیل,های,پارک,شده,و,یک,فروشگاه,کوچک,مواد,غذایی,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
یک,ماشین,قرمز,جلوی,درب,فروشگاه,مواد,غذایی,قرمز,رنگ,پارک,شده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
دو,وسیله,نقلیه,در,بیرون,یک,فروشگاه,کوچک,مواد,غذایی,پارک,شده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
ماشین,هایی,که,جلوی,یک,فروشگاه,مواد,غذایی,پارک,کرده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,کارگر,با,لباس,شطرنجی,محصولات,پشت,جایگاهی,را,که,غذاهای,عجیب,و,غریب,ارائه,می,دهد,وزن,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
تنوع,مهمترین,ادویه,زندگی,است,,فارغ,از,اینکه,فرهنگ,چه,باشد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,خود,را,برای,فروش,وسایل,موجود,در,سبد,غذایی,آماده,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
فروشنده,خیابان,مشغول,تهیه,غذا,برای,فروش,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
مردی,با,لباس,قرمز,در,حال,تهیه,غذا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
مردی,با,لباس,کار,آبی,رنگ,در,حال,کار,روی,اتوبوس,آبی,روی,بالابر,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
مکانیکی,در,زیر,اتوبوسی,که,بلند,شده,کار,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مکانیکی,با,روپوش,آبی,رنگ,در,اتوبوس,کار,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
اتوبوسی,که,توسط,مکانیک,در,حال,کار,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
مکانیکی,که,در,اتوبوس,کار,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
یک,کارگر,ساختمانی,که,در,یک,ساختمان,کار,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
کارگری,که,روی,داربست,بلند,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
کارگران,ساختمانی,مشغول,نقاشی,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
یک,مرد,قرمز,پوش,در,حال,تعمیر,پل,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,مرد,خیلی,سخت,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
گروهی,از,کارگران,ساختمانی,که,روی,رمپ,بسته,هستند,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
تپه,بزرگی,از,خاک,در,پشت,تابلوهایی,وجود,دارد,که,روی,آنها,نوشته,شده,است,رمپ,بسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
سه,کارگر,ساختمانی,که,در,یک,سایت,ساختمانی,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
سه,کارگر,جاده,در,رمپ,خاکی,کنار,بزرگراه,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردان,کار,جاده,را,به,پس,زمینه,تپه,های,قهوه,ای,انجام,می,دهند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,سوار,بر,یک,کایاک,آبی,در,اقیانوس,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,با,یک,قایق,رانی,آبی,که,در,اقیانوس,پارو,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,با,کایاک,آبی,در,آب,دست,و,پا,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,روی,رودخانه,با,کایاک,آبی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
یک,مرد,در,اقیانوس,در,حال,کایاک,سواری,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,زن,و,شوهر,و,فرزندشان,در,ساحل,کنار,اقیانوس,مشغول,بازی,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
برخی,از,افراد,با,لباس,شنای,خود,به,تنهایی,در,ساحل,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
یک,زن,و,مرد,با,کودکشان,در,ساحل,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,خانواده,سه,نفره,روز,را,در,ساحل,می,گذرانند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,زن,و,شوهر,با,کودکشان,در,ساحل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
بسیاری,از,مردم,در,حاشیه,یک,ساحل,صخره,ای,نشسته,اند,و,در,حال,تماشای,دیگران,در,آب,درخشان,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
افرادی,که,در,یک,ساحل,چمن,نشسته,و,چند,درختچه,در,سراسر,ساحل,پراکنده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
تماشاگران,در,یک,ساحل,صخره,ای,و,علفی,نشسته,و,حوادثی,را,که,در,دریاچه,در,حال,وقوع,است,تماشا,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
مردی,با,لباس,مشکی,و,شورت,قرمز,در,ساحل,دریاچه,ای,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
بسیاری,از,مردم,نشسته,اند,و,در,یک,ساحل,صخره,ای,بازی,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
این,گروه,تمام,تلاش,خود,را,می,کنند,تا,از,جهت,گیری,جدید,بیمارستان,لذت,ببرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
یک,زن,در,حال,ارائه,سخنرانی,به,گروهی,از,افراد,است,که,روی,صندلی,نشسته,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
معلمی,در,صفحه,پروژکتور,چیزی,به,دانش,آموزانش,نشان,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,خانم,در,حال,ارائه,سخنرانی,به,یک,کلاس,کاملاً,زنانه,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
کلاس,بزرگی,به,زنان,هندی,آموزش,داده,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
زنی,که,دامن,بلند,و,سبز,به,تن,دارد,,لباس,هایش,را,روی,خط,آویزان,کرده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
یک,زن,آفریقایی,در,حال,شستن,لباسشویی,با,دو,فرزند,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,زن,و,یک,دختر,جوان,لباسها,را,روی,خط,آویزان,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
زنی,لباس,را,روی,بند,رخت,آویزان,کرده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مادر,با,دو,فرزند,لباسشویی,را,آویزان,کرده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,مرد,هنگام,پیاده,روی,در,زمین,های,بایر,,روی,صخره,ای,مکث,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
دو,نفر,روی,صخره,ها,نشسته,اند,و,یک,پاکت,در,پاهایشان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
دو,کوهنورد,در,کوهی,پوشیده,از,برف,استراحت,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دو,مرد,در,بالای,کوه,برفی,استراحت,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,مرد,و,یک,کوله,پشتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
گروه,بسیار,بزرگی,از,مردم,در,فضای,باز,و,زیر,ابرهای,زیبا,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
جمعیتی,از,مردم,جمع,شده,اند,که,در,پس,زمینه,یک,صحنه,آسمان,وجود,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
یک,ساختمان,جعبه,ای,,گروهی,از,درختان,,یک,کلیسا,هنگام,غروب,آفتاب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
جمعیت,زیادی,از,مردم,دور,هم,جمع,شده,بودند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
جمعیتی,از,مردم,در,یک,رویداد,در,فضای,باز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
زنی,ایستاده,است,که,از,کتاب,می,خواند,تا,گروهی,که,دور,آن,جمع,شده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
خانمی,که,کتاب,دارد,برای,گروه,کوچکی,از,مردم,در,حال,خواندن,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
زن,کچلی,که,عینک,دارد,برای,چهار,مرد,و,یک,زن,قرائت,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,سیاه,پوش,در,حال,خواندن,کتاب,برای,گروهی,از,مردم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
شخصی,که,در,حال,مطالعه,کتاب,برای,تعداد,زیادی,از,افراد,از,کتاب,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
